LAMMPS (15 May 2015)
Reading data file ...
  triclinic box = (-0.107635 -0.0404339 -0.357111) to (41.3876 35.9384 29.5551) with tilt (-0.0672341 -17.0362 -0.0417078)
  5 by 4 by 3 MPI processor grid
  reading atoms ...
  4560 atoms
  reading velocities ...
  4560 velocities
  scanning bonds ...
  3 = max bonds/atom
  scanning angles ...
  3 = max angles/atom
  scanning dihedrals ...
  8 = max dihedrals/atom
  scanning impropers ...
  1 = max impropers/atom
  reading bonds ...
  5040 bonds
  reading angles ...
  7200 angles
  reading dihedrals ...
  10560 dihedrals
  reading impropers ...
  2400 impropers
Finding 1-2 1-3 1-4 neighbors ...
 Special bond factors lj:   0          0          0         
 Special bond factors coul: 0          0          0         
  4 = max # of 1-2 neighbors
  8 = max # of 1-3 neighbors
  20 = max # of 1-4 neighbors
  16 = max # of special neighbors
4560 atoms in group all
720 atoms in group C
480 atoms in group S
1920 atoms in group H
720 atoms in group Si
240 atoms in group Na
240 atoms in group Ba
240 atoms in group O
4560 atoms in group naphthalene
1200 atoms in group fixed
960 atoms in group CO
Setting atom values ...
  720 settings made for charge
Setting atom values ...
  720 settings made for charge
Setting atom values ...
  1920 settings made for charge
Setting atom values ...
  480 settings made for charge
Setting atom values ...
  240 settings made for charge
Setting atom values ...
  240 settings made for charge
Setting atom values ...
  240 settings made for charge
Finding 1-2 1-3 1-4 neighbors ...
 Special bond factors lj:   0          0          0.5       
 Special bond factors coul: 0          0          0.5       
  4 = max # of 1-2 neighbors
  8 = max # of 1-3 neighbors
  20 = max # of 1-4 neighbors
  16 = max # of special neighbors
PPPM initialization ...
  G vector (1/distance) = 0.253736
  grid = 16 16 20
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00119712
  estimated relative force accuracy = 3.60508e-06
  using double precision FFTs
  3d grid and FFT values/proc = 1053 112
Neighbor list info ...
  6 neighbor list requests
  update every 1 steps, delay 0 steps, check yes
  master list distance cutoff = 12
Setting up run ...
Memory usage per processor = 14.0537 Mbytes
Step Temp Density PotEng E_vdwl E_tail E_coul E_long Press Volume Xy Xz Yz E_mol E_bond E_angle E_dihed 14[1] 14[2] 14[3] msd[4] msd2[4] msd3[4] msd4[4] naphthal Cella Cellb Cellc CellAlpha CellBeta CellGamma 2 27[1] 27[2] 27[3] 
  330000     303.8823    1.2509986    3377.7727            0            0    1041.2246   -1153.2456   -9238.0252    44657.537 -0.067234084   -17.036218 -0.041707817    3489.7936    1497.6279    959.79134    882.12965    28.377421    18.845858    14.336027 0.00035639073 0.00035621456 0.00036286436 0.00036258197     303.8823     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1069.1722    28.379658     18.84639    14.337389 
  340000    297.97045    1.2509986    3407.2296            0            0    1041.0323   -1153.2734   -9982.0988    44657.537 -0.067234084   -17.036218 -0.041707817    3519.4707    1502.0356    960.88939    899.14212    28.379294    18.845929    14.336751 0.0003418656 0.00034165507 0.00033925295 0.00033884762    297.97045     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1025.5968    28.379803    18.846203    14.337283 
  350000    302.98072    1.2509986     3376.322            0            0    1040.9707   -1153.4945   -9160.4089    44657.537 -0.067234084   -17.036218 -0.041707817    3488.8459      1464.57    944.84677    920.08584    28.379783    18.846071    14.337658 0.0003620852 0.0003620445 0.00036534363 0.00036523947    302.98072     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1086.2556    28.379729    18.845985    14.337707 
  360000    290.45636    1.2509986     3351.235            0            0    1042.2029   -1153.3651   -6775.6832    44657.537 -0.067234084   -17.036218 -0.041707817    3462.3972    1528.2443    900.66149    881.18629    28.380246    18.845252    14.338643 0.00035782575 0.00035751221 0.00036387802 0.0003637213    290.45636     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1073.4773     28.38019    18.846206    14.338099 
  370000    298.91886    1.2509986    3480.6173            0            0    1040.7987   -1153.2633   -7647.9417    44657.537 -0.067234084   -17.036218 -0.041707817    3593.0819    1538.2833    1015.5151     890.0343    28.381915    18.845271    14.337742 0.00036209712 0.00036191128 0.00036069015 0.0003606086    298.91886     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1086.2914    28.379733    18.845971    14.337364 
  380000     296.8309    1.2509986    3385.1889            0            0    1039.8482   -1153.2433   -8141.7632    44657.537 -0.067234084   -17.036218 -0.041707817     3498.584    1503.0147    956.24282    886.46845    28.378426    18.845148    14.336532 0.00034624746 0.00034590717 0.00035362542 0.00035247888     296.8309     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1038.7424    28.379882    18.846405    14.337214 
  390000    299.06047    1.2509986    3384.9958            0            0    1040.2915   -1153.4351   -8411.0634    44657.537 -0.067234084   -17.036218 -0.041707817    3498.1394    1497.6013    917.80706    923.38698    28.379231    18.846815    14.337691 0.00035550879 0.00035542819 0.0003569529 0.0003565784    299.06047     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1066.5264    28.379627    18.846186    14.337989 
  400000    306.48347    1.2509986     3531.438            0            0     1041.653   -1153.3966   -7828.6562    44657.537 -0.067234084   -17.036218 -0.041707817    3643.1816    1560.1244    988.31358    932.10877    28.380509    18.846727    14.336935 0.00034023228 0.00034011568 0.0003423232 0.00034192591    306.48347     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1020.6968    28.379576     18.84603    14.337496 
  410000    296.03721    1.2509986    3390.0456            0            0    1041.9807   -1153.1688   -9093.2851    44657.537 -0.067234084   -17.036218 -0.041707817    3501.2338    1486.0463    961.21975    897.86781    28.377442    18.845626    14.336484 0.00037242254 0.00037215959 0.00037811677 0.00037777686    296.03721     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1117.2676     28.38004    18.845834    14.337486 
  420000    303.58642    1.2509986    3387.6737            0            0    1041.4971   -1153.2421   -8205.4051    44657.537 -0.067234084   -17.036218 -0.041707817    3499.4187    1492.9713     943.7354    905.76514    28.379844    18.847685    14.337452 0.00035087948 0.00035053879 0.00035308035 0.00035250589    303.58642     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1052.6384    28.379604    18.846688    14.337984 
  430000    302.91105    1.2509986     3382.176            0            0     1039.868   -1153.4808   -8667.5968    44657.537 -0.067234084   -17.036218 -0.041707817    3495.7888    1465.5063    997.47192    880.27367    28.380012    18.845671    14.337323 0.00036146439 0.00036128598 0.00036581893 0.00036571643    302.91105     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1084.3932    28.379907    18.846545    14.337579 
  440000    291.99647    1.2509986    3447.9497            0            0    1042.2941   -1153.1971    -9973.483    44657.537 -0.067234084   -17.036218 -0.041707817    3558.8528    1517.2646    997.96832    891.16951    28.378778    18.843793    14.336692 0.00036036248 0.00036009466 0.00035825877 0.00035741168    291.99647     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1081.0874    28.379782    18.846015     14.33725 
  450000    297.36462    1.2509986    3428.6142            0            0    1041.0503   -1153.2367   -9530.0468    44657.537 -0.067234084   -17.036218 -0.041707817    3540.8006    1500.9909    1008.2144    881.88536    28.381419    18.846445    14.337841 0.00034627539 0.00034596386 0.00034786517 0.00034760697    297.36462     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1038.8262    28.380222    18.846243    14.338047 
  460000    302.77818    1.2509986    3393.6806            0            0    1042.5714   -1153.3206   -9524.3907    44657.537 -0.067234084   -17.036218 -0.041707817    3504.4297    1489.5054     937.9108    921.96269    28.379962    18.844444    14.338218 0.00036877683 0.00036862057 0.00036511394 0.0003650671    302.77818     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1106.3305    28.379896    18.846289    14.338095 
  470000    298.14634    1.2509986    3379.5399            0            0    1041.3964   -1153.3306   -8602.0407    44657.537 -0.067234084   -17.036218 -0.041707817    3491.4741    1456.6157    964.31919    913.91169    28.379684    18.846451    14.337483 0.00035193498 0.00035179727 0.00035615906 0.0003559857    298.14634     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069     1055.805    28.379509    18.845912    14.337704 
  480000    295.70332    1.2509986    3399.5431            0            0    1039.9752   -1153.3312   -8729.5411    44657.537 -0.067234084   -17.036218 -0.041707817    3512.8991    1481.3172     996.3364    884.19374    28.380772    18.845185    14.337889 0.00035893275 0.00035866349 0.00035606548 0.00035587228    295.70332     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1076.7982    28.380061    18.845787    14.337892 
  490000    297.15321    1.2509986    3373.1001            0            0    1040.6928   -1153.2856   -8711.7065    44657.537 -0.067234084   -17.036218 -0.041707817     3485.693    1512.5367     947.2064    876.02463    28.378222    18.845071    14.337029 0.00036180018 0.00036170207 0.00035664435 0.00035642915    297.15321     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1085.4005    28.379697    18.846393    14.337961 
  500000    294.48739    1.2509986    3321.3019            0            0     1043.572   -1153.2054   -6117.0129    44657.537 -0.067234084   -17.036218 -0.041707817    3430.9353    1405.7551    977.51747    898.12693    28.380303     18.84505     14.33746 0.00034903577 0.00034889075 0.00035306404 0.00035280998    294.48739     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1047.1073    28.379522    18.846024     14.33799 
  510000    301.45719    1.2509986    3332.7213            0            0    1043.0556   -1153.1486   -8163.9781    44657.537 -0.067234084   -17.036218 -0.041707817    3442.8143    1469.2604    958.45325    865.62733    28.379278    18.845959    14.337783 0.00033763188 0.00033735857 0.00033809224 0.00033779523    301.45719     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1012.8956    28.379394    18.846335    14.337399 
  520000    300.46581    1.2509986    3341.3854            0            0    1042.5832   -1153.2841   -9157.4464    44657.537 -0.067234084   -17.036218 -0.041707817    3452.0863    1445.8313    972.29261    881.88558    28.378171     18.84382    14.336078 0.00035959894 0.00035940894 0.00036384979 0.00036364019    300.46581     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1078.7968    28.379508    18.845841    14.337839 
  530000    299.42847    1.2509986    3371.8961            0            0    1042.3384   -1153.1109   -5796.0362    44657.537 -0.067234084   -17.036218 -0.041707817    3482.6687    1446.8598    951.89473    924.10634    28.378446    18.845739    14.337138 0.00036198256 0.00036171291 0.00035885095 0.00035841584    299.42847     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1085.9477    28.380265    18.846254    14.337838 
  540000    299.31804    1.2509986    3340.4737            0            0     1042.191   -1153.1757    -7859.142    44657.537 -0.067234084   -17.036218 -0.041707817    3451.4584     1464.634    947.18423    887.99497    28.381353    18.845378    14.338035 0.00036334343 0.00036313897 0.00036454505 0.00036407042    299.31804     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1090.0303    28.380084    18.846373    14.337991 
  550000    305.57116    1.2509986    3250.8768            0            0    1040.3201   -1153.3178   -8735.7342    44657.537 -0.067234084   -17.036218 -0.041707817    3363.8745    1455.5186     894.8793    861.35342     28.38134    18.846518    14.338056 0.00035171965 0.00035146082 0.00034907479 0.00034862025    305.57116     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1055.1589    28.379773    18.846644    14.337953 
  560000    293.35122    1.2509986    3393.2531            0            0    1039.7759   -1153.2432   -9452.3085    44657.537 -0.067234084   -17.036218 -0.041707817    3506.7204    1501.8929    970.25065    882.89201    28.380095    18.844348    14.337409 0.00035540694 0.00035513545 0.00034833105 0.00034753158    293.35122     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1066.2208    28.380098    18.845828     14.33792 
  570000    300.61739    1.2509986    3356.5826            0            0    1042.1719   -1153.3086   -7892.4056    44657.537 -0.067234084   -17.036218 -0.041707817    3467.7193    1426.2745    954.16201    929.74837    28.380181    18.846102    14.336728 0.00036861916 0.00036786709 0.00037536659 0.00037485297    300.61739     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1105.8575    28.380364    18.846274    14.337123 
  580000    294.89051    1.2509986    3359.2092            0            0    1041.3908   -1153.2598   -8070.5591    44657.537 -0.067234084   -17.036218 -0.041707817    3471.0782     1459.691    969.32784    890.85635     28.37985    18.845346      14.3377 0.00036725948 0.00036725279 0.00036691426 0.00036683319    294.89051     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1101.7785     28.37977    18.846234    14.337676 
  590000    300.34558    1.2509986    3342.8815            0            0    1041.1142   -1153.2954   -8375.8822    44657.537 -0.067234084   -17.036218 -0.041707817    3455.0628    1447.8532    973.70222    884.07029    28.378149    18.846465    14.336169 0.00036833731 0.00036761697 0.00036615561 0.00036542902    300.34558     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1105.0119    28.380448    18.846679    14.337692 
  600000     301.6157    1.2509986    3335.0668            0            0    1040.5061   -1153.2884   -10047.199    44657.537 -0.067234084   -17.036218 -0.041707817    3447.8491    1425.1219    984.28448    881.44373    28.381924    18.845458    14.337746 0.00035627473 0.0003560652 0.00035733892 0.00035708047     301.6157     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1068.8242    28.379801    18.845882    14.338082 
